Year,State,Boys schools,girls schools,Boys Participation,Girls Participation,Total Participation
2005/2006,Alaska,0,0,0,0,0
2006/2007,Alaska,0,0,0,0,0
2007/2008,Alaska,0,0,0,0,0
2008/2009,Alaska,0,0,0,0,0
2009/2010,Alaska,0,0,0,0,0
2010/2011,Alaska,0,0,0,0,0
2011/2012,Alaska,0,0,0,0,0
2012/2013,Alaska,0,0,0,0,0
2013/2014,Alaska,0,0,0,0,0
2014/2015,Alaska,0,0,0,0,0
2005/2006,Alabama,0,0,0,0,0
2006/2007,Alabama,0,0,0,0,0
2007/2008,Alabama,0,0,0,0,0
2008/2009,Alabama,0,0,0,0,0
2009/2010,Alabama,0,0,0,0,0
2010/2011,Alabama,0,0,0,0,0
2011/2012,Alabama,0,0,0,0,0
2012/2013,Alabama,0,0,0,0,0
2013/2014,Alabama,0,0,0,0,0
2014/2015,Alabama,0,0,0,0,0
2005/2006,Arkansas,0,0,0,0,0
2006/2007,Arkansas,0,0,0,0,0
2007/2008,Arkansas,0,0,0,0,0
2008/2009,Arkansas,0,0,0,0,0
2009/2010,Arkansas,0,0,0,0,0
2010/2011,Arkansas,0,0,0,0,0
2011/2012,Arkansas,0,0,0,0,0
2012/2013,Arkansas,0,0,0,0,0
2013/2014,Arkansas,1,0,24,0,24
2014/2015,Arkansas,1,0,24,0,24
2005/2006,Arizona,0,0,0,0,0
2006/2007,Arizona,0,0,0,0,0
2007/2008,Arizona,0,0,0,0,0
2008/2009,Arizona,0,0,0,0,0
2009/2010,Arizona,0,0,0,0,0
2010/2011,Arizona,0,0,0,0,0
2011/2012,Arizona,0,0,0,0,0
2012/2013,Arizona,0,0,0,0,0
2013/2014,Arizona,0,0,0,0,0
2014/2015,Arizona,0,0,0,0,0
2005/2006,California,95,74,3608,2286,5894
2006/2007,California,138,110,5323,3154,8477
2007/2008,California,138,110,5323,3154,8477
2008/2009,California,179,157,7365,4956,12321
2009/2010,California,179,157,7365,4956,12321
2010/2011,California,192,159,8288,5108,13396
2011/2012,California,198,170,8578,5412,13990
2012/2013,California,204,182,8813,5736,14549
2013/2014,California,216,193,9091,6039,15130
2014/2015,California,224,204,9297,6547,15844
2005/2006,Colorado,43,37,2561,1387,3948
2006/2007,Colorado,60,48,2877,1433,4310
2007/2008,Colorado,50,38,3045,1421,4466
2008/2009,Colorado,61,46,3525,1532,5057
2009/2010,Colorado,71,51,3372,1566,4938
2010/2011,Colorado,63,49,3701,1720,5421
2011/2012,Colorado,64,48,3938,1701,5639
2012/2013,Colorado,69,50,3845,1640,5485
2013/2014,Colorado,69,50,3615,1590,5205
2014/2015,Colorado,113,81,3787,1604,5391
2005/2006,Connecticut,73,65,3652,2903,6555
2006/2007,Connecticut,72,68,3884,2992,6876
2007/2008,Connecticut,77,71,4123,3024,7147
2008/2009,Connecticut,80,78,4305,3455,7760
2009/2010,Connecticut,81,79,4366,3479,7845
2010/2011,Connecticut,82,80,4512,3536,8048
2011/2012,Connecticut,83,79,4467,3368,7835
2012/2013,Connecticut,93,88,4645,3655,8300
2013/2014,Connecticut,95,89,4615,3682,8297
2014/2015,Connecticut,96,91,4535,3661,8196
2005/2006,Washington D.C.,0,2,0,42,42
2006/2007,Washington D.C.,0,1,0,17,17
2007/2008,Washington D.C.,0,1,0,17,17
2008/2009,Washington D.C.,0,1,0,17,17
2009/2010,Washington D.C.,0,1,0,17,17
2010/2011,Washington D.C.,0,1,0,17,17
2011/2012,Washington D.C.,0,1,0,17,17
2012/2013,Washington D.C.,0,1,0,17,17
2013/2014,Washington D.C.,0,0,406,291,697
2014/2015,Washington D.C.,0,0,373,307,680
2005/2006,Delaware,36,21,1327,619,1946
2006/2007,Delaware,39,24,1435,643,2078
2007/2008,Delaware,34,24,1349,678,2027
2008/2009,Delaware,40,25,1522,789,2311
2009/2010,Delaware,42,24,1682,775,2457
2010/2011,Delaware,40,29,1624,973,2597
2011/2012,Delaware,42,29,1661,888,2549
2012/2013,Delaware,45,29,1752,901,2653
2013/2014,Delaware,45,31,1617,847,2464
2014/2015,Delaware,45,31,1724,988,2712
2005/2006,Florida,36,41,1388,1339,2727
2006/2007,Florida,64,61,2333,1835,4168
2007/2008,Florida,66,66,2349,1872,4221
2008/2009,Florida,87,68,3146,1918,5064
2009/2010,Florida,94,83,3178,2503,5681
2010/2011,Florida,99,91,3488,2880,6368
2011/2012,Florida,147,125,5181,3706,8887
2012/2013,Florida,162,141,4902,3701,8603
2013/2014,Florida,169,152,5680,4256,9936
2014/2015,Florida,185,164,6167,4531,10698
2005/2006,Georgia,37,35,1549,1263,2812
2006/2007,Georgia,37,35,1549,1263,2812
2007/2008,Georgia,45,49,2082,1716,3798
2008/2009,Georgia,45,49,2082,1716,3798
2009/2010,Georgia,61,58,2557,1944,4501
2010/2011,Georgia,61,58,2557,1944,4501
2011/2012,Georgia,74,71,3259,2427,5686
2012/2013,Georgia,80,77,3436,2593,6029
2013/2014,Georgia,87,84,3639,2719,6358
2014/2015,Georgia,87,84,3639,2719,6358
2005/2006,Hawaii,0,0,0,0,0
2006/2007,Hawaii,0,0,0,0,0
2007/2008,Hawaii,0,0,0,0,0
2008/2009,Hawaii,0,0,0,0,0
2009/2010,Hawaii,0,0,0,0,0
2010/2011,Hawaii,0,0,0,0,0
2011/2012,Hawaii,0,0,0,0,0
2012/2013,Hawaii,0,0,0,0,0
2013/2014,Hawaii,0,0,0,0,0
2014/2015,Hawaii,0,0,0,0,0
2005/2006,Iowa,0,0,0,0,0
2006/2007,Iowa,0,0,0,0,0
2007/2008,Iowa,0,0,0,0,0
2008/2009,Iowa,0,0,0,0,0
2009/2010,Iowa,0,0,0,0,0
2010/2011,Iowa,0,0,0,0,0
2011/2012,Iowa,0,0,0,0,0
2012/2013,Iowa,0,0,0,0,0
2013/2014,Iowa,0,0,0,0,0
2014/2015,Iowa,0,0,0,0,0
2005/2006,Idaho,0,0,0,0,0
2006/2007,Idaho,0,0,0,0,0
2007/2008,Idaho,0,0,0,0,0
2008/2009,Idaho,0,0,0,0,0
2009/2010,Idaho,0,0,0,0,0
2010/2011,Idaho,0,0,0,0,0
2011/2012,Idaho,0,0,0,0,0
2012/2013,Idaho,0,0,0,0,0
2013/2014,Idaho,0,0,0,0,0
2014/2015,Idaho,0,0,0,0,0
2005/2006,Illinois,0,0,0,0,0
2006/2007,Illinois,0,0,0,0,0
2007/2008,Illinois,0,0,0,0,0
2008/2009,Illinois,0,0,0,0,0
2009/2010,Illinois,0,0,0,0,0
2010/2011,Illinois,49,34,937,456,1393
2011/2012,Illinois,63,44,893,580,1473
2012/2013,Illinois,86,55,605,405,1010
2013/2014,Illinois,86,55,605,405,1010
2014/2015,Illinois,82,58,615,358,973
2005/2006,Indiana,0,0,0,0,0
2006/2007,Indiana,0,0,0,0,0
2007/2008,Indiana,0,0,0,0,0
2008/2009,Indiana,0,0,0,0,0
2009/2010,Indiana,0,0,0,0,0
2010/2011,Indiana,0,0,0,0,0
2011/2012,Indiana,0,0,0,0,0
2012/2013,Indiana,0,0,0,0,0
2013/2014,Indiana,0,0,0,0,0
2014/2015,Indiana,0,0,0,0,0
2005/2006,Kansas,0,0,0,0,0
2006/2007,Kansas,0,0,0,0,0
2007/2008,Kansas,0,0,0,0,0
2008/2009,Kansas,0,0,0,0,0
2009/2010,Kansas,0,0,0,0,0
2010/2011,Kansas,0,0,0,0,0
2011/2012,Kansas,0,0,0,0,0
2012/2013,Kansas,0,0,0,0,0
2013/2014,Kansas,0,0,0,0,0
2014/2015,Kansas,0,0,0,0,0
2005/2006,Kentucky,18,14,466,294,760
2006/2007,Kentucky,18,14,466,294,760
2007/2008,Kentucky,22,12,921,518,1439
2008/2009,Kentucky,22,12,921,518,1439
2009/2010,Kentucky,22,12,921,518,1439
2010/2011,Kentucky,22,12,921,518,1439
2011/2012,Kentucky,10,12,358,355,713
2012/2013,Kentucky,12,12,440,405,845
2013/2014,Kentucky,17,15,583,541,1124
2014/2015,Kentucky,16,16,576,681,1257
2005/2006,Louisiana,0,0,0,0,0
2006/2007,Louisiana,0,0,0,0,0
2007/2008,Louisiana,0,0,0,0,0
2008/2009,Louisiana,0,0,0,0,0
2009/2010,Louisiana,0,0,0,0,0
2010/2011,Louisiana,0,0,0,0,0
2011/2012,Louisiana,0,0,0,0,0
2012/2013,Louisiana,0,0,0,0,0
2013/2014,Louisiana,0,0,0,0,0
2014/2015,Louisiana,0,0,0,0,0
2005/2006,Massachusetts,148,120,7505,5367,12872
2006/2007,Massachusetts,165,137,7786,5706,13492
2007/2008,Massachusetts,179,152,8121,6118,14239
2008/2009,Massachusetts,186,161,8149,6072,14221
2009/2010,Massachusetts,186,155,8673,6276,14949
2010/2011,Massachusetts,191,161,8910,6581,15491
2011/2012,Massachusetts,208,176,9374,7120,16494
2012/2013,Massachusetts,221,187,9487,7274,16761
2013/2014,Massachusetts,227,196,9422,7518,16940
2014/2015,Massachusetts,231,206,9602,7523,17125
2005/2006,Maryland,137,125,5419,4212,9631
2006/2007,Maryland,137,125,5633,4320,9953
2007/2008,Maryland,141,129,6091,4535,10626
2008/2009,Maryland,145,133,6303,4905,11208
2009/2010,Maryland,147,137,6404,5151,11555
2010/2011,Maryland,148,148,6828,5264,12092
2011/2012,Maryland,149,140,6622,5206,11828
2012/2013,Maryland,150,138,7056,5497,12553
2013/2014,Maryland,149,139,6406,5137,11543
2014/2015,Maryland,150,137,6276,4850,11126
2005/2006,Maine,43,40,1880,1493,3373
2006/2007,Maine,42,40,1856,1378,3234
2007/2008,Maine,42,40,1851,1468,3319
2008/2009,Maine,43,43,1931,1464,3395
2009/2010,Maine,46,43,1983,1512,3495
2010/2011,Maine,48,46,1992,1530,3522
2011/2012,Maine,44,40,1691,1344,3035
2012/2013,Maine,47,48,1867,1507,3374
2013/2014,Maine,49,50,1841,1482,3323
2014/2015,Maine,50,51,1836,1513,3349
2005/2006,Michigan,81,51,3328,1515,4843
2006/2007,Michigan,86,52,3762,1760,5522
2007/2008,Michigan,95,68,4126,2016,6142
2008/2009,Michigan,103,72,4250,2136,6386
2009/2010,Michigan,105,75,4311,2234,6545
2010/2011,Michigan,118,79,4803,2444,7247
2011/2012,Michigan,123,83,5018,2447,7465
2012/2013,Michigan,124,89,5064,2502,7566
2013/2014,Michigan,125,86,5089,2540,7629
2014/2015,Michigan,130,88,4955,2592,7547
2005/2006,Minnesota,0,24,0,1026,1026
2006/2007,Minnesota,41,48,1284,1278,2562
2007/2008,Minnesota,52,58,2433,2335,4768
2008/2009,Minnesota,57,65,1926,1862,3788
2009/2010,Minnesota,62,73,2338,2369,4707
2010/2011,Minnesota,68,76,2929,3032,5961
2011/2012,Minnesota,71,78,3021,3108,6129
2012/2013,Minnesota,76,83,3207,3354,6561
2013/2014,Minnesota,84,87,3223,3525,6748
2014/2015,Minnesota,103,98,3358,3598,6956
2005/2006,Missouri,40,40,600,600,1200
2006/2007,Missouri,40,0,600,0,600
2007/2008,Missouri,0,0,0,0,0
2008/2009,Missouri,0,25,0,1004,1004
2009/2010,Missouri,0,26,0,1146,1146
2010/2011,Missouri,0,28,0,1160,1160
2011/2012,Missouri,0,28,0,1257,1257
2012/2013,Missouri,0,31,0,1265,1265
2013/2014,Missouri,0,31,0,1256,1256
2014/2015,Missouri,0,31,0,1303,1303
2005/2006,Mississippi,0,0,0,0,0
2006/2007,Mississippi,0,0,0,0,0
2007/2008,Mississippi,0,0,0,0,0
2008/2009,Mississippi,0,0,0,0,0
2009/2010,Mississippi,0,0,0,0,0
2010/2011,Mississippi,0,0,0,0,0
2011/2012,Mississippi,0,0,0,0,0
2012/2013,Mississippi,0,0,0,0,0
2013/2014,Mississippi,0,0,0,0,0
2014/2015,Mississippi,0,0,0,0,0
2005/2006,Montana,0,0,0,0,0
2006/2007,Montana,0,0,0,0,0
2007/2008,Montana,0,0,0,0,0
2008/2009,Montana,0,0,0,0,0
2009/2010,Montana,0,0,0,0,0
2010/2011,Montana,0,0,0,0,0
2011/2012,Montana,0,0,0,0,0
2012/2013,Montana,0,0,0,0,0
2013/2014,Montana,0,0,0,0,0
2014/2015,Montana,0,0,0,0,0
2005/2006,North Carolina,46,21,1842,703,2545
2006/2007,North Carolina,53,43,2292,1032,3324
2007/2008,North Carolina,58,32,2151,1176,3327
2008/2009,North Carolina,83,36,3213,934,4147
2009/2010,North Carolina,66,47,1808,1426,3234
2010/2011,North Carolina,85,58,1520,3630,5150
2011/2012,North Carolina,98,71,2940,1695,4635
2012/2013,North Carolina,83,58,2490,1385,3875
2013/2014,North Carolina,96,70,2880,1672,4552
2014/2015,North Carolina,94,65,3649,1953,5602
2005/2006,North Dakota,0,0,0,0,0
2006/2007,North Dakota,0,0,0,0,0
2007/2008,North Dakota,0,0,0,0,0
2008/2009,North Dakota,0,0,0,0,0
2009/2010,North Dakota,0,0,0,0,0
2010/2011,North Dakota,0,0,0,0,0
2011/2012,North Dakota,0,0,0,0,0
2012/2013,North Dakota,0,0,0,0,0
2013/2014,North Dakota,0,0,0,0,0
2014/2015,North Dakota,0,0,0,0,0
2005/2006,Nebraska,0,0,0,0,0
2006/2007,Nebraska,0,0,0,0,0
2007/2008,Nebraska,0,0,0,0,0
2008/2009,Nebraska,0,0,0,0,0
2009/2010,Nebraska,0,0,0,0,0
2010/2011,Nebraska,0,0,0,0,0
2011/2012,Nebraska,0,0,0,0,0
2012/2013,Nebraska,0,0,0,0,0
2013/2014,Nebraska,0,0,0,0,0
2014/2015,Nebraska,0,0,0,0,0
2005/2006,New Hampshire,38,36,1768,1353,3121
2006/2007,New Hampshire,42,37,1915,1414,3329
2007/2008,New Hampshire,45,40,1974,1301,3275
2008/2009,New Hampshire,45,40,2018,1449,3467
2009/2010,New Hampshire,45,40,2185,1567,3752
2010/2011,New Hampshire,46,40,2104,1524,3628
2011/2012,New Hampshire,46,41,2004,1468,3472
2012/2013,New Hampshire,46,40,2025,1491,3516
2013/2014,New Hampshire,41,47,2118,1558,3676
2014/2015,New Hampshire,48,42,2109,1607,3716
2005/2006,New Jersey,121,139,6696,7048,13744
2006/2007,New Jersey,137,151,7034,7309,14343
2007/2008,New Jersey,138,154,8036,8125,16161
2008/2009,New Jersey,146,161,8081,7777,15858
2009/2010,New Jersey,154,169,7941,7707,15648
2010/2011,New Jersey,163,176,8265,7420,15685
2011/2012,New Jersey,175,182,8874,7673,16547
2012/2013,New Jersey,181,189,9003,8128,17131
2013/2014,New Jersey,190,199,11919,9573,21492
2014/2015,New Jersey,194,201,11105,10391,21496
2005/2006,New Mexico,0,0,0,0,0
2006/2007,New Mexico,0,0,0,0,0
2007/2008,New Mexico,0,0,0,0,0
2008/2009,New Mexico,0,0,0,0,0
2009/2010,New Mexico,0,0,0,0,0
2010/2011,New Mexico,0,0,0,0,0
2011/2012,New Mexico,0,0,0,0,0
2012/2013,New Mexico,0,0,0,0,0
2013/2014,New Mexico,0,0,0,0,0
2014/2015,New Mexico,0,0,0,0,0
2005/2006,Nevada,0,0,0,0,0
2006/2007,Nevada,0,0,0,0,0
2007/2008,Nevada,0,0,0,0,0
2008/2009,Nevada,0,0,0,0,0
2009/2010,Nevada,0,0,0,0,0
2010/2011,Nevada,0,0,0,0,0
2011/2012,Nevada,0,0,0,0,0
2012/2013,Nevada,0,0,0,0,0
2013/2014,Nevada,0,0,0,0,0
2014/2015,Nevada,0,0,0,0,0
2005/2006,New York,244,211,14200,9899,24099
2006/2007,New York,244,211,14200,9899,24099
2007/2008,New York,301,258,15706,10871,26577
2008/2009,New York,301,258,15706,10871,26577
2009/2010,New York,321,278,16206,11370,27576
2010/2011,New York,322,291,16183,12523,28706
2011/2012,New York,328,298,16169,11922,28091
2012/2013,New York,328,298,16169,11922,28091
2013/2014,New York,328,298,16169,11922,28091
2014/2015,New York,328,298,16169,11922,28091
2005/2006,Ohio,45,40,2346,1776,4122
2006/2007,Ohio,47,40,2320,1749,4069
2007/2008,Ohio,70,62,3311,2286,5597
2008/2009,Ohio,71,67,3364,2266,5630
2009/2010,Ohio,85,79,3946,2728,6674
2010/2011,Ohio,80,74,3783,2606,6389
2011/2012,Ohio,84,77,3903,2752,6655
2012/2013,Ohio,87,80,4041,2860,6901
2013/2014,Ohio,93,86,4108,3035,7143
2014/2015,Ohio,110,102,4540,3296,7836
2005/2006,Oklahoma,0,0,0,0,0
2006/2007,Oklahoma,0,0,0,0,0
2007/2008,Oklahoma,0,0,0,0,0
2008/2009,Oklahoma,0,0,0,0,0
2009/2010,Oklahoma,0,0,0,0,0
2010/2011,Oklahoma,0,0,0,0,0
2011/2012,Oklahoma,0,0,0,0,0
2012/2013,Oklahoma,0,0,0,0,0
2013/2014,Oklahoma,0,0,0,0,0
2014/2015,Oklahoma,0,0,0,0,0
2005/2006,Oregon,0,0,0,0,0
2006/2007,Oregon,0,0,0,0,0
2007/2008,Oregon,0,0,0,0,0
2008/2009,Oregon,0,0,0,0,0
2009/2010,Oregon,0,0,0,0,0
2010/2011,Oregon,0,0,0,0,0
2011/2012,Oregon,0,0,0,0,0
2012/2013,Oregon,0,0,0,0,0
2013/2014,Oregon,0,0,0,0,0
2014/2015,Oregon,0,0,0,0,0
2005/2006,Pennsylvania,0,106,0,3392,3392
2006/2007,Pennsylvania,0,121,0,3872,3872
2007/2008,Pennsylvania,132,136,4224,4352,8576
2008/2009,Pennsylvania,156,158,4992,5056,10048
2009/2010,Pennsylvania,166,164,5312,5248,10560
2010/2011,Pennsylvania,167,168,5344,5376,10720
2011/2012,Pennsylvania,175,179,5600,5728,11328
2012/2013,Pennsylvania,180,183,5760,5856,11616
2013/2014,Pennsylvania,187,199,5984,6368,12352
2014/2015,Pennsylvania,194,207,6208,6624,12832
2005/2006,Rhode Island,14,15,496,504,1000
2006/2007,Rhode Island,20,20,724,631,1355
2007/2008,Rhode Island,22,23,732,888,1620
2008/2009,Rhode Island,22,25,782,967,1749
2009/2010,Rhode Island,23,25,840,899,1739
2010/2011,Rhode Island,23,25,898,909,1807
2011/2012,Rhode Island,27,27,1002,940,1942
2012/2013,Rhode Island,29,30,1075,969,2044
2013/2014,Rhode Island,31,31,1039,1051,2090
2014/2015,Rhode Island,31,31,1132,1058,2190
2005/2006,South Carolina,9,8,309,191,500
2006/2007,South Carolina,11,9,347,249,596
2007/2008,South Carolina,16,15,496,336,832
2008/2009,South Carolina,18,18,631,478,1109
2009/2010,South Carolina,22,23,906,622,1528
2010/2011,South Carolina,24,23,1032,634,1666
2011/2012,South Carolina,28,26,1150,653,1803
2012/2013,South Carolina,32,31,1398,851,2249
2013/2014,South Carolina,36,33,1588,992,2580
2014/2015,South Carolina,38,40,1634,1214,2848
2005/2006,South Dakota,0,0,0,0,0
2006/2007,South Dakota,0,0,0,0,0
2007/2008,South Dakota,0,0,0,0,0
2008/2009,South Dakota,0,0,0,0,0
2009/2010,South Dakota,0,0,0,0,0
2010/2011,South Dakota,0,0,0,0,0
2011/2012,South Dakota,0,0,0,0,0
2012/2013,South Dakota,0,0,0,0,0
2013/2014,South Dakota,0,0,0,0,0
2014/2015,South Dakota,0,0,0,0,0
2005/2006,Tennesee,0,0,0,0,0
2006/2007,Tennesee,0,0,0,0,0
2007/2008,Tennesee,0,0,0,0,0
2008/2009,Tennesee,0,0,0,0,0
2009/2010,Tennesee,0,0,0,0,0
2010/2011,Tennesee,0,0,0,0,0
2011/2012,Tennesee,0,0,0,0,0
2012/2013,Tennesee,0,0,0,0,0
2013/2014,Tennesee,0,0,0,0,0
2014/2015,Tennesee,0,0,0,0,0
2005/2006,Texas,0,0,0,0,0
2006/2007,Texas,0,0,0,0,0
2007/2008,Texas,0,0,0,0,0
2008/2009,Texas,0,0,0,0,0
2009/2010,Texas,0,0,0,0,0
2010/2011,Texas,0,0,0,0,0
2011/2012,Texas,0,0,0,0,0
2012/2013,Texas,0,0,0,0,0
2013/2014,Texas,0,0,0,0,0
2014/2015,Texas,0,0,0,0,0
2005/2006,Utah,0,0,0,0,0
2006/2007,Utah,0,0,0,0,0
2007/2008,Utah,0,0,0,0,0
2008/2009,Utah,0,0,0,0,0
2009/2010,Utah,0,0,0,0,0
2010/2011,Utah,0,0,0,0,0
2011/2012,Utah,0,0,0,0,0
2012/2013,Utah,0,0,0,0,0
2013/2014,Utah,0,0,0,0,0
2014/2015,Utah,0,0,0,0,0
2005/2006,Virginia,67,59,3046,1967,5013
2006/2007,Virginia,69,62,3390,2165,5555
2007/2008,Virginia,69,63,3495,2153,5648
2008/2009,Virginia,69,63,3445,2153,5598
2009/2010,Virginia,68,67,3468,2174,5642
2010/2011,Virginia,77,71,4038,2496,6534
2011/2012,Virginia,81,75,4047,2623,6670
2012/2013,Virginia,80,74,3828,2806,6634
2013/2014,Virginia,86,90,4067,3258,7325
2014/2015,Virginia,96,95,4409,3400,7809
2005/2006,Vermont,24,25,1058,798,1856
2006/2007,Vermont,26,23,514,378,892
2007/2008,Vermont,23,23,921,726,1647
2008/2009,Vermont,25,19,889,634,1523
2009/2010,Vermont,22,19,908,581,1489
2010/2011,Vermont,24,22,1026,646,1672
2011/2012,Vermont,20,18,891,603,1494
2012/2013,Vermont,21,18,779,538,1317
2013/2014,Vermont,28,25,992,712,1704
2014/2015,Vermont,31,25,731,545,1276
2005/2006,Washington,0,0,0,0,0
2006/2007,Washington,0,0,0,0,0
2007/2008,Washington,0,0,0,0,0
2008/2009,Washington,0,0,0,0,0
2009/2010,Washington,0,0,0,0,0
2010/2011,Washington,0,0,0,0,0
2011/2012,Washington,0,0,0,0,0
2012/2013,Washington,0,0,0,0,0
2013/2014,Washington,0,0,0,0,0
2014/2015,Washington,0,0,0,0,0
2005/2006,Wisconsin,0,0,0,0,0
2006/2007,Wisconsin,0,0,0,0,0
2007/2008,Wisconsin,0,0,0,0,0
2008/2009,Wisconsin,0,0,0,0,0
2009/2010,Wisconsin,0,0,0,0,0
2010/2011,Wisconsin,0,0,0,0,0
2011/2012,Wisconsin,0,0,0,0,0
2012/2013,Wisconsin,0,0,0,0,0
2013/2014,Wisconsin,0,0,0,0,0
2014/2015,Wisconsin,0,0,0,0,0
2005/2006,West Virginia,0,0,0,0,0
2006/2007,West Virginia,0,0,0,0,0
