State,2005/2006Total Participation,2006/2007Total Participation,2007/2008Total Participation,2008/2009Total Participation,2009/2010Total Participation,2010/2011Total Participation,2011/2012Total Participation,2012/2013Total Participation,2013/2014Total Participation,2014/2015Total Participation
Alaska,0,0,0,0,0,0,0,0,0,0
Alabama,0,0,0,0,0,0,0,0,0,0
Arkansas,0,0,0,0,0,0,0,0,24,24
Arizona,0,0,0,0,0,0,0,0,0,0
California,5894,8477,8477,12321,12321,13396,13990,14549,15130,15844
Colorado,3948,4310,4466,5057,4938,5421,5639,5485,5205,5391
Connecticut,6555,6876,7147,7760,7845,8048,7835,8300,8297,8196
Washington D.C.,42,17,17,17,17,17,17,17,697,680
Delaware,1946,2078,2027,2311,2457,2597,2549,2653,2464,2712
Florida,2727,4168,4221,5064,5681,6368,8887,8603,9936,10698
Georgia,2812,2812,3798,3798,4501,4501,5686,6029,6358,6358
Hawaii,0,0,0,0,0,0,0,0,0,0
Iowa,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,0,0,0,0,0
Illinois,0,0,0,0,0,1393,1473,1010,1010,973
Indiana,0,0,0,0,0,0,0,0,0,0
Kansas,0,0,0,0,0,0,0,0,0,0
Kentucky,760,760,1439,1439,1439,1439,713,845,1124,1257
Louisiana,0,0,0,0,0,0,0,0,0,0
Massachusetts,12872,13492,14239,14221,14949,15491,16494,16761,16940,17125
Maryland,9631,9953,10626,11208,11555,12092,11828,12553,11543,11126
Maine,3373,3234,3319,3395,3495,3522,3035,3374,3323,3349
Michigan,4843,5522,6142,6386,6545,7247,7465,7566,7629,7547
Minnesota,1026,2562,4768,3788,4707,5961,6129,6561,6748,6956
Missouri,1200,600,0,1004,1146,1160,1257,1265,1256,1303
Mississippi,0,0,0,0,0,0,0,0,0,0
Montana,0,0,0,0,0,0,0,0,0,0
North Carolina,2545,3324,3327,4147,3234,5150,4635,3875,4552,5602
North Dakota,0,0,0,0,0,0,0,0,0,0
Nebraska,0,0,0,0,0,0,0,0,0,0
New Hampshire,3121,3329,3275,3467,3752,3628,3472,3516,3676,3716
New Jersey,13744,14343,16161,15858,15648,15685,16547,17131,21492,21496
New Mexico,0,0,0,0,0,0,0,0,0,0
Nevada,0,0,0,0,0,0,0,0,0,0
New York,24099,24099,26577,26577,27576,28706,28091,28091,28091,28091
Ohio,4122,4069,5597,5630,6674,6389,6655,6901,7143,7836
Oklahoma,0,0,0,0,0,0,0,0,0,0
Oregon,0,0,0,0,0,0,0,0,0,0
Pennsylvania,3392,3872,8576,10048,10560,10720,11328,11616,12352,12832
Rhode Island,1000,1355,1620,1749,1739,1807,1942,2044,2090,2190
South Carolina,500,596,832,1109,1528,1666,1803,2249,2580,2848
South Dakota,0,0,0,0,0,0,0,0,0,0
Tennesee,0,0,0,0,0,0,0,0,0,0
Texas,0,0,0,0,0,0,0,0,0,0
Utah,0,0,0,0,0,0,0,0,0,0
Virginia,5013,5555,5648,5598,5642,6534,6670,6634,7325,7809
Vermont,1856,892,1647,1523,1489,1672,1494,1317,1704,1276
Washington,0,0,0,0,0,0,0,0,0,0
Wisconsin,0,0,0,0,0,0,0,0,0,0
West Virginia,0,0,0,0,0,0,0,0,0,0
Wyoming,0,0,0,0,0,0,0,0,0,0
